athlete_id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,headshot_url,season
158565,Randy,Duncan,Tulsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158565.png,2004
158599,Larry,Shipp,Tennessee Tech,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158599.png,2004
158602,Ryan,Nichols,Tennessee Tech,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158602.png,2004
158665,Oge,Oge,Southeast Missouri State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158665.png,2004
158714,Julian,Rauch,Appalachian State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158714.png,2004
158749,Scott,Beckler,Furman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158749.png,2004
158753,Jerome,Felton,Furman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158753.png,2004
158789,Douglas,Sherman,Texas State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158789.png,2004
159095,Chris,Farrar,Missouri State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159095.png,2004
159239,Greg,Arline,Florida A&M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159239.png,2004
159259,Jesse,Hartley,Florida A&M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159259.png,2004
159283,Craig,Swain,Florida A&M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159283.png,2004
159501,Maurice,Murray,Northeastern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159501.png,2004
159559,Nat,Jackson,VMI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159559.png,2004
159561,Barrett,Way,VMI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159561.png,2004
159654,John,Dunlap,NC State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159654.png,2004
159662,DaJuan,Morgan,NC State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159662.png,2004
159668,Marcus,Howell,NC State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159668.png,2004
159679,Tim,Hightower,Richmond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159679.png,2004
159706,Morgan,Riley,Murray State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159706.png,2004
159773,Levonte,Barber,Chattanooga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159773.png,2004
159778,Eugene,Cousart,Chattanooga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159778.png,2004
159779,Lironnie,Davis,Chattanooga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159779.png,2004
159794,Antonio,Miller,Chattanooga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159794.png,2004
159804,Brandon,Breazell,UCLA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159804.png,2004
159806,Marcus,Everett,UCLA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159806.png,2004
159815,Chris,Markey,UCLA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159815.png,2004
159825,Antonio,Eldemire,UCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159825.png,2004
159847,Pernell,Williams,West Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/159847.png,2004
